show_id,title,type,release_year,date_added,date_added_year,date_added_month,rating,rating_system,rating_group,is_unrated,duration,duration_value,duration_unit,description
s1025,Arlo the Alligator Boy,Movie,2021,2021-04-16,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,93 min,93,min,"To find the father he never knew, optimistic Arlo leaves his swampy Southern home for New York City, making friends along the way. A musical adventure."
s1026,Bakugan: Geogan Rising,TV Show,2021,2021-04-16,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,1 Season,1,season,"The Awesome Brawlers band together to fight off a powerful enemy determined to break the bond between Earth and Vestroia, the Bakugan's home planet."
s1027,Barbie & Chelsea: The Lost Birthday,Movie,2021,2021-04-16,2021,4,TV-Y,TV Parental Guidelines,Kids,False,60 min,60,min,"When Barbie’s sister Chelsea thinks her birthday has been skipped, she hunts for a magic gem on a jungle island that will grant her wish to get it back."
s1028,Crimson Peak,Movie,2015,2021-04-16,2021,4,R,MPAA-like,Mature,False,119 min,119,min,"After marrying a mysterious British aristocrat, a young heiress moves into his crumbling, creepy ancestral home and finds it conceals sinister secrets."
s1029,Dad Stop Embarrassing Me - The Afterparty,Movie,2021,2021-04-16,2021,4,TV-14,TV Parental Guidelines,Teen,False,37 min,37,min,"Jamie Foxx, David Alan Grier and more from the cast of the family comedy discuss the show, humiliating family moments, bad BBQ dishes and sitcom openings."
s103,Countdown: Inspiration4 Mission to Space,TV Show,2021,2021-09-06,2021,9,TV-14,TV Parental Guidelines,Teen,False,1 Season,1,season,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
s1030,Doctor Bello,Movie,2013,2021-04-16,2021,4,TV-MA,TV Parental Guidelines,Mature,False,96 min,96,min,A troubled doctor sets out to save the life of a miracle worker who cured his cancer patient using an unprecedented and mysterious remedy.
s1031,Four Sisters Before the Wedding,Movie,2020,2021-04-16,2021,4,TV-MA,TV Parental Guidelines,Mature,False,116 min,116,min,"When their parents' marriage threatens to crumble, the teenage Salazar siblings plot to reconcile them before their 20th wedding anniversary."
s1032,Into the Beat,Movie,2020,2021-04-16,2021,4,TV-14,TV Parental Guidelines,Teen,False,102 min,102,min,A teen ballerina discovers hip-hop by chance and is faced with an impossible choice: Does she follow her parents’ footsteps... or her newfound passion?
s1033,Love Naggers,TV Show,2021,2021-04-16,2021,4,TV-14,TV Parental Guidelines,Teen,False,1 Season,1,season,"From the quirky to the scandalous, any relationship is fair game for a panel of love experts who comb over text messages and revel in reenactments."
s1034,Rush,Movie,2013,2021-04-16,2021,4,R,MPAA-like,Mature,False,123 min,123,min,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all."
s1035,Synchronic,Movie,2020,2021-04-16,2021,4,R,MPAA-like,Mature,False,102 min,102,min,Two paramedics begin to question their realities after coming across several bizarre deaths linked to a new narcotic with mind-bending effects.
s1036,The Zookeeper's Wife,Movie,2017,2021-04-16,2021,4,PG-13,MPAA-like,Teen,False,127 min,127,min,"When the Nazis invade Poland, Warsaw Zoo caretakers work with the underground resistance to save Jews from the horrors of the Third Reich."
s1037,Time Trap,Movie,2017,2021-04-16,2021,4,TV-14,TV Parental Guidelines,Teen,False,88 min,88,min,"While searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface."
s1038,Tuesdays & Fridays,Movie,2021,2021-04-16,2021,4,TV-14,TV Parental Guidelines,Teen,False,106 min,106,min,"To avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. That won’t get complicated — right?"
s1039,Dancing Angels,TV Show,2016,2021-04-15,2021,4,TV-PG,TV Parental Guidelines,Family,False,1 Season,1,season,"A group of aspiring young musicians yearn for stardom while navigating the ups and downs of friendship, romance, and life at school."
s104,Shadow Parties,Movie,2020,2021-09-06,2021,9,TV-MA,TV Parental Guidelines,Mature,False,117 min,117,min,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
s1040,Dark City Beneath the Beat,Movie,2020,2021-04-15,2021,4,TV-MA,TV Parental Guidelines,Mature,False,65 min,65,min,"In this documentary, TT the Artist captures the irrepressible bounce and infectious beats of a Baltimore club scene that demands to be seen and heard."
s1041,Durarara!!,TV Show,2016,2021-04-15,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh."
s1042,GANTZ:O,Movie,2016,2021-04-15,2021,4,TV-MA,TV Parental Guidelines,Mature,False,96 min,96,min,Teams of recently deceased people who've been revived and given high-tech weapons must cooperate to defeat an army of monsters in Tokyo and Osaka.
s1043,Garth Brooks: The Road I’m On,TV Show,2019,2021-04-15,2021,4,TV-PG,TV Parental Guidelines,Family,False,1 Season,1,season,"Revealing interviews and archive footage tell the story of Garth Brooks' humble beginnings, rise to fame and unprecedented impact on country music."
s1044,Gilmore Girls,TV Show,2006,2021-04-15,2021,4,TV-14,TV Parental Guidelines,Teen,False,7 Seasons,7,season,"Fiercely independent single mom Lorelai raises gifted, Ivy League-bound daughter Rory amid a continual stream of quick-witted repartee."
s1045,High-Rise Invasion,TV Show,2021,2021-04-15,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"High schooler Yuri finds herself atop a skyscraper in a strange world, where she must survive against masked assailants bent on killing their prey."
s1046,Next in Fashion,TV Show,2020,2021-04-15,2021,4,TV-14,TV Parental Guidelines,Teen,False,1 Season,1,season,"Talented designers from around the world compete for $250,000 and the chance to become the next big thing in fashion."
s1047,Only Mine,Movie,2019,2021-04-15,2021,4,TV-14,TV Parental Guidelines,Teen,False,88 min,88,min,"After dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways."
s1048,Peasants Rebellion,TV Show,2018,2021-04-15,2021,4,TV-14,TV Parental Guidelines,Teen,False,1 Season,1,season,"In feudalistic Lebanon, farmers revolt against the nobility under the leadership of a revolutionary figure who champions the oppressed."
s1049,Power Players,TV Show,2020,2021-04-15,2021,4,TV-Y,TV Parental Guidelines,Kids,False,3 Seasons,3,season,A kid transforms into an action figure-sized superhero and teams with his toys in a fight against a villainous robot to save the world.
s105,Tayo the Little Bus,TV Show,2016,2021-09-06,2021,9,TV-Y,TV Parental Guidelines,Kids,False,2 Seasons,2,season,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
s1050,Ricky Zoom,TV Show,2019,2021-04-15,2021,4,TV-Y,TV Parental Guidelines,Kids,False,1 Season,1,season,Race along with Ricky Zoom and his loyal Bike Buddies as they zip around their two-wheeled town of Wheelford on rescue missions and learn speedy stunts!
s1051,Ride or Die,Movie,2021,2021-04-15,2021,4,TV-MA,TV Parental Guidelines,Mature,False,143 min,143,min,"Rei helps the woman she’s been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire."
s1052,Sonic X,TV Show,2003,2021-04-15,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,2 Seasons,2,season,"A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth."
s1053,The Master,Movie,2012,2021-04-15,2021,4,R,MPAA-like,Mature,False,137 min,137,min,"A heavy-drinking loner finds some semblance of a family when he stumbles onto the ship of Lancaster Dodd, the charismatic leader of a new ""religion."""
s1054,Time Is Illmatic,Movie,2014,2021-04-15,2021,4,TV-MA,TV Parental Guidelines,Mature,False,75 min,75,min,"Providing a behind-the-scenes look at the making of Nas's debut album, this documentary also delves into his deep connection to his New York roots."
s1055,Wave of Cinema: One Day We'll Talk About Today,Movie,2020,2021-04-15,2021,4,TV-14,TV Parental Guidelines,Teen,False,71 min,71,min,"Delve into a musical concert and relive moments from ""One Day We'll Talk About Today,"" a film about family and intergenerational trauma."
s1056,Zoot Suit,Movie,1981,2021-04-15,2021,4,R,MPAA-like,Mature,False,103 min,103,min,"In this drama based on a 1940s trial, the members of a Mexican American gang are sentenced to San Quentin for a murder they may not have committed."
s1057,Ajaibnya Cinta,TV Show,2015,2021-04-14,2021,4,TV-PG,TV Parental Guidelines,Family,False,1 Season,1,season,"Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss."""
s1058,Dad Stop Embarrassing Me!,TV Show,2021,2021-04-14,2021,4,TV-14,TV Parental Guidelines,Teen,False,1 Season,1,season,A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.
s1059,Fate: The Winx Saga,TV Show,2021,2021-04-14,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school."
s106,Angamaly Diaries,Movie,2017,2021-09-05,2021,9,TV-14,TV Parental Guidelines,Teen,False,128 min,128,min,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
s1060,House of Cards,TV Show,2018,2021-04-14,2021,4,TV-MA,TV Parental Guidelines,Mature,False,6 Seasons,6,season,"A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama."
s1061,Indian Matchmaking,TV Show,2020,2021-04-14,2021,4,TV-14,TV Parental Guidelines,Teen,False,1 Season,1,season,"Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era."
s1062,Jeffrey Epstein: Filthy Rich,TV Show,2020,2021-04-14,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.
s1063,Law School,TV Show,2021,2021-04-14,2021,4,TV-14,TV Parental Guidelines,Teen,False,1 Season,1,season,"When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students."
s1064,Living with Yourself,TV Show,2019,2021-04-14,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"Burned out on life, Miles undergoes a strange procedure at a strip mall spa – and wakes to find he's been replaced by a better version of himself."
s1065,Signal,TV Show,2016,2021-04-14,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"Communicating via a walkie-talkie that transcends time, a profiler from 2015 and a detective from 1989 join forces to tackle crimes and injustice."
s1066,Slasher,TV Show,2019,2021-04-14,2021,4,TV-MA,TV Parental Guidelines,Mature,False,3 Seasons,3,season,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
s1067,The Soul,Movie,2021,2021-04-14,2021,4,TV-MA,TV Parental Guidelines,Mature,False,130 min,130,min,"While investigating the death of a businessman, a prosecutor and his wife uncover occult secrets as they face their own life-and-death dilemma."
s1068,The Underclass,TV Show,2020,2021-04-14,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"After getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity."
s1069,Unnatural Selection,TV Show,2019,2021-04-14,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science."
s107,Bunk'd,TV Show,2021,2021-09-05,2021,9,TV-G,TV Parental Guidelines,Family,False,5 Seasons,5,season,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
s1070,Uppena,Movie,2020,2021-04-14,2021,4,TV-14,TV Parental Guidelines,Teen,False,145 min,145,min,"The son of a fishing community falls for a village head's daughter, but they face violent opposition from the girl’s doggedly old-fashioned father."
s1071,Why Did You Kill Me?,Movie,2021,2021-04-14,2021,4,TV-MA,TV Parental Guidelines,Mature,False,84 min,84,min,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.
s1072,Motu Patlu in Hong Kong: Kung Fu Kings 3,Movie,2017,2021-04-13,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,84 min,84,min,"With a dangerous villain to defeat in Hong Kong, Motu takes his martial arts skills to the next level, training with a boneless master to face the foe."
s1073,Motu Patlu in the City of Gold,Movie,2018,2021-04-13,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,77 min,77,min,"Defeated by the strong yet naive Motu in a race, an evil horseback rider challenges him to a more dangerous mission: finding a lost city of treasure!"
s1074,Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,Movie,2018,2021-04-13,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,86 min,86,min,"While in Japan, best friends Motu and Patlu have only one month to train for an epic martial arts battle against two wicked but highly skilled brothers."
s1075,Motu Patlu the Superheroes – Super Villains from Mars,Movie,2019,2021-04-13,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,79 min,79,min,"Friends Motu and Patlu must save the world from three space thieves, but the job gets much harder when a cosmic collision gives the enemies superpowers!"
s1076,My Love: Six Stories of True Love,TV Show,2021,2021-04-13,2021,4,TV-PG,TV Parental Guidelines,Family,False,1 Season,1,season,Six longtime couples in different parts of the world share their decades-long love in these tender portraits filmed over the course of one year.
s1077,Shiva VS Autobots,Movie,2018,2021-04-13,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,80 min,80,min,"When an evil enemy gains control of a gadget that sends vehicles destructively spinning out of control, kid superhero Shiva must stop the chaos!"
s1078,Shiva: Journey to Plunotaria,Movie,2019,2021-04-13,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,81 min,81,min,Young superhero Shiva must use his powers to thwart a scheming scientist’s plans to blast Earth with explosive pellets from planet Plunotaria.
s1079,Shiva: The Secret World Of Vedas City,Movie,2017,2021-04-13,2021,4,TV-Y,TV Parental Guidelines,Kids,False,78 min,78,min,"When the residents of Vedas are ordered to evacuate by a prince who claims the town as his own, young Shiva sets out to save the city and its citizens."
s108,A Champion Heart,Movie,2018,2021-09-04,2021,9,G,MPAA-like,Family,False,90 min,90,min,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
s1080,The Baker and the Beauty,TV Show,2020,2021-04-13,2021,4,TV-PG,TV Parental Guidelines,Family,False,1 Season,1,season,"A Miami baker and a fashionista try to make romance work despite the heat they face from jealous exes, prying family members and invasive paparazzi."
s1081,New Gods: Nezha Reborn,Movie,2021,2021-04-12,2021,4,TV-14,TV Parental Guidelines,Teen,False,118 min,118,min,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones."
s1082,"Nicky, Ricky, Dicky & Dawn",TV Show,2018,2021-04-12,2021,4,TV-G,TV Parental Guidelines,Family,False,4 Seasons,4,season,"Just because they're quadruplets, that doesn't mean these 10-year-olds always get along. But for all the bickering, they're loyal to the last."
s1083,Don't be the First one,TV Show,2021,2021-04-11,2021,4,TV-14,TV Parental Guidelines,Teen,False,1 Season,1,season,"Is marriage just better between funny people? Revealing their day-to-day lives, celebrity comedian couples explore the bonds that keep them together."
s1084,The Stand-In,Movie,2020,2021-04-10,2021,4,R,MPAA-like,Mature,False,102 min,102,min,"Her career in shambles, a reclusive movie star hires her stand-in to go to rehab for her, not expecting how much the look-alike will relish the role."
s1085,Heaven Official's Blessing,TV Show,2020,2021-04-09,2021,4,TV-14,TV Parental Guidelines,Teen,False,1 Season,1,season,"Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods."
s1086,Night in Paradise,Movie,2021,2021-04-09,2021,4,TV-MA,TV Parental Guidelines,Mature,False,132 min,132,min,"Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons."
s1087,Ojukokoro: Greed,Movie,2016,2021-04-09,2021,4,TV-MA,TV Parental Guidelines,Mature,False,108 min,108,min,"Down and out of luck, the manager of a shady gas station gets in over his head when he tries to steal from his grubby employers."
s1088,Roohi,Movie,2021,2021-04-09,2021,4,TV-14,TV Parental Guidelines,Teen,False,133 min,133,min,"Hired to kidnap a bride, two bumbling pals face a wacky predicament when one falls for their abductee — and the other, for the spirit possessing her."
s1089,Thunder Force,Movie,2021,2021-04-09,2021,4,PG-13,MPAA-like,Teen,False,107 min,107,min,Two childhood best friends reunite as an unlikely crime-fighting superhero duo when one invents a formula that gives ordinary people superpowers.
s109,Dive Club,TV Show,2021,2021-09-03,2021,9,TV-G,TV Parental Guidelines,Family,False,1 Season,1,season,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
s1090,Two Distant Strangers,Movie,2021,2021-04-09,2021,4,TV-MA,TV Parental Guidelines,Mature,False,32 min,32,min,"In this Oscar-nominated short film, a man trying to go home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop."
s1091,Story of Kale: When Someone's in Love,Movie,2020,2021-04-08,2021,4,TV-PG,TV Parental Guidelines,Family,False,78 min,78,min,"After leaving a toxic relationship, Dinda embarks on a romance with Kale, whose view on love soon shatters as he wrestles with his own insecurities."
s1092,The Way of the Househusband,TV Show,2021,2021-04-08,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"After disappearing from the underworld, the legendary yakuza Tatsu, ""the Immortal Dragon,"" resurfaces — as a fiercely devoted stay-at-home husband."
s1093,Dolly Parton: A MusiCares Tribute,Movie,2021,2021-04-07,2021,4,TV-PG,TV Parental Guidelines,Family,False,55 min,55,min,"In a star-studded evening of music and memories, a community of iconic performers honor Dolly Parton as the MusiCares Person of the Year."
s1094,The Big Day,TV Show,2021,2021-04-07,2021,4,TV-14,TV Parental Guidelines,Teen,False,2 Seasons,2,season,"For six engaged couples, happily ever after begins on a spectacular note in this eye-popping look at India’s multibillion-dollar wedding industry."
s1095,The Wedding Coach,TV Show,2021,2021-04-07,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,Former bride and forever comedian Jamie Lee shares her irreverent yet practical tips and tricks for wedding planning with struggling lovebirds.
s1096,This Is a Robbery: The World's Biggest Art Heist,TV Show,2021,2021-04-07,2021,4,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"In 1990, two men dressed as cops con their way into a Boston museum and steal a fortune in art. Take a deep dive into this daring and notorious crime."
s1097,The Last Kids on Earth: Happy Apocalypse to You,Movie,2021,2021-04-06,2021,4,TV-Y7,TV Parental Guidelines,Kids,False,92 min,92,min,"Help Jack and his monster-battling friends make choices to stay alive — and have some fun — in this interactive ""Last Kids on Earth"" adventure!"
s1098,Coded Bias,Movie,2020,2021-04-05,2021,4,TV-MA,TV Parental Guidelines,Mature,False,86 min,86,min,This documentary investigates the bias in algorithms after M.I.T. Media Lab researcher Joy Buolamwini uncovered flaws in facial recognition technology.
s1099,Mandela,Movie,2021,2021-04-05,2021,4,TV-14,TV Parental Guidelines,Teen,False,140 min,140,min,"Amid a local election with two rivals vying to win by any means necessary, a barber lands in a curiously powerful position as the single deciding vote."
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,2021,2021-09-24,2021,9,TV-MA,TV Parental Guidelines,Mature,False,1 Season,1,season,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
s110,La casa de papel,TV Show,2021,2021-09-03,2021,9,TV-MA,TV Parental Guidelines,Mature,False,5 Seasons,5,season,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
s1100,The Fisherman's Diary,Movie,2020,2021-04-04,2021,4,TV-MA,TV Parental Guidelines,Mature,False,143 min,143,min,"Inspired by Nobel Peace Prize winner Malala Yousafzai, a young girl defies the expectations of her father and village to pursue an education"
s1101,What Lies Below,Movie,2020,2021-04-04,2021,4,TV-MA,TV Parental Guidelines,Mature,False,88 min,88,min,"Back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother's too-perfect new lover."
s1102,Escape from Planet Earth,Movie,2013,2021-04-03,2021,4,PG,MPAA-like,Family,False,89 min,89,min,"This all-ages animated comedy follows the adventures of astronaut Scorch Supernova, a hero of the blue aliens who has a vast appetite for adventure."
s1103,Accepted,Movie,2006,2021-04-02,2021,4,PG-13,MPAA-like,Teen,False,93 min,93,min,"Rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts."
s1104,Air Strike,Movie,2018,2021-04-02,2021,4,R,MPAA-like,Mature,False,97 min,97,min,The residents of Chongqing try to survive Japanese air raids as a U.S. military advisor trains a squadron of Chinese pilots desperate to fight back.
s1105,An American Girl: McKenna Shoots for the Stars,Movie,2012,2021-04-02,2021,4,TV-Y,TV Parental Guidelines,Kids,False,94 min,94,min,"A talented young gymnast struggles with her schoolwork and an injury. But with help from her tutor, she gets her confidence back."
s1106,Concrete Cowboy,Movie,2021,2021-04-02,2021,4,R,MPAA-like,Mature,False,112 min,112,min,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys."
